V1,V2
use anoth browser amp brand reput built tech respons crossbrows compat websit,0
now flight flight book problem site total folk problem,0
like custom servic min delay just connect passeng seem long va,0
thank outstand nycjfk crew move mountain get home san francisco tonight,1
absolut best team custom servic ever everi time fli delight thank,1
need chang flight that schedul hour min wait time phone im call intern help,0
complet awesom experi last month bosla nonstop thank awesom flight depart time vabeatsjblu,1
fail custom check process link tsa precheck,0
us terribl airlin just gave us hotel hotlin number said sorri,0
assist yesterday u cancel flightl flight give us hotel hotlin shame,0
anoth delay flight likingyoulessandless,0
need regist servic dog first class ticket sfo gt dull phone queue hour longer pls advis,0
rock make can watch oscar flight redcarpet oscar oscar,1
alway xoxo,1
book seat flight buy even check creat much anxieti frustrat,0
think pay extra buck rt luggag might afford hire extra hand lame,0
best custom servic rep world irmafromdalla take cake,1
pleas provid status flight cant imagin time web indic dude weather dalla,0
amaz staff amp super help just ran princesshalf spoil comfort,1
paid premium fli across countri cancel flight flight offer check fee upgrad love sad face,0
question possibl book seat infant give option want seat,0
alway togeth welcom rt welcom,1
flight home dc sunset globe backtowint back work refresh httptcovxvbctdlf,1
understand need dm give answer damag luggag polici,0
mean polici destroy luggag,0
thank check ticket purchas custom happi,1
problem flight book problem web site keep give error contact phone phone minut wait,0
reschedul cancel flightl flight onlin chang button grey,0
rang wait minut can book ticket vendor fix site,0
got flight told todaycheck email tomorrow unaccept,0
flight lga cancel flight stuck dalla call reschedul told get flight today,0
pair includ red wine white offer redwineisbett,0
websit,0
site seem littl wonk right now may want look tri two browser css httptcoqsqmmkf,0
disappoint agent design silver status check line close assist paseng,0
normal receiv repli central baggag baggageissu smh,0
logan airport wait checkin am flight checkin desk open,0
congrat just got busi ewr sfolax fuck fl sfoewr clincher,0
appli week ago heard back fli week disappoint,0
thank follow,1
mani apolog r wors airlin even respond cudtom,0
shame va make peopl spend money strand citi airlin land jfk reimburs,0
bad say take day via confirm email inquir week claim week,0
flight bos gt las tomorrow cancel flightl notif wait time hour rebook anoth airlin,0
rt ¡¯ve met match got status anoth airlin upgrad restr httptcorhkamxvf httptcopyalebgkjt,1
way fli elev gold,1
lot apolog thrown custom can see sad thank noth worst airlin ever,0
flight stuff wrong noth worst flight ever,0
match americanairlin status cool,1
tri book flight guy websit let lose busi,0
suck,0
thank,1
just dmd issu persist,0
never recd cancel flightlat notic left w option fli ps drive la red eye mon w kid,0
tri book flight amp site,0
flight fli boston tomorrow need home cancel flightl flight anyth,0
stink flight cancel flight psp jfk notif abil rebook disappoint expect better,0
love guy song danc high school danc revu,1
websit tri check,0
done thank quick respons appar faster sit hold,1
cool pictur anoth virginamerica plane wing site httptcobagfdc,1
keep great work,1
good peopl field amaz pressur texa beatstheoth crisi pleas fli ny,1
thank great flight la boston pilot great job land snow can go back la now serious,1
thank much awesom support guy rock,1
seat row reclin mention websit soreback,0
flight delay hour la due mechan problem handl like pros toss us free drink,0
cancel flight flight today precipit scare,0
twitter team guy kill reschedul asap thank,1
guy charg reschedul flight cancel flight now refus refund deal,0
can¡¯t access websit safari iphon seem work mac ipad need iphon add passbook,0
mobil site broken show headerelevateusernumofpointsavail number point let checkin,0
realli look forward flight can let know reschedul diehardvirgin,0
cancel flight flight vx one sec delay airport next cancel flightledgonna email call reschedul,0
problem link email check thank,0
chang anoth airlin get dc today abl land dc cost ugh,0
look forward first flight today cancel flightl along subsequ one,0
put great deal pdx las las pdx show love httptcoeniqgbuzj,1
wish can afford fli next friday go back home love everyth airlin,1
gonna deal dalla dc deal dc dalla sad,0
hold time call center bit much,0
like httptcovpqemxuq,1
site help,0
best flight attend ever httptcopxdelnql,1
awesom rt watch nomin film feet meetthefleet oscar httptcodnstitrzwi,1
thank much,1
tri reset password email never arriv help,0
airlin base silicon valley disrupt fcmostinnov incub httptcowulbcncr,1
nice done,1
¡¯m look forward watch oscar flight home tomorrow might even get someth bubbl drink,1
reason delay departur vx jfk afternoon,0
today flight palm spring ca jfk ny cancel flightl,0
hahaha guy amaz love guy,1
sound like fun,1
css site right now pleas fix site unus,0
flight vega boston today check onlin bag count regist can fix somehow,0
classiq luv virgin america greetingz,1
hi tri check websit work tri differ browser problem continu,0
thank great custom servic today amp help get travel sort,1
thank guy sweet rout rocki airplanemodewason,1
love s music blast gate boston wait flight sanfrancisco get ice coffe,1
passeng d flt assault flown trust ban crew file report,0
current bug websit show ¡®select departur city¡¯ select destin citi httptcosllyibevq,0
luggag sever dentedmiss wheel come baggag claim san luggag agent miranda think help,0
thank easi itinerari shift impend weather quick painless amp free,1
thank good time back vodkaton entir flightsfo,1
great job ad littl luxuriesaesthet improv air travel experi thank keep,1
request window seat confirm window got stuck middl seat good way treat silver member,0
wtf paid direct flight purpos stop fuel exhaust frequent flier noth inconveni,0
someth wrong websit safari iphon,0
thank gate check baggag full flight dfwlax give earli board sweet,1
alreadi check page expir x,0
boo refund seat upgrad fee want buy first place,0
see,1
inflight team make experi amaz,1
cutest salt pepper shaker ever just think guy get better just httptcovckeulgj,1
move seat notic better seat cabin select behind row select disappoint,0
fav airlin,1
hot femal pilot sweet dca sfo,1
alreadi contact central baggag amp sent dm charg dress lost suitcas help,0
thank,1
anyth go websit get lot error past minut,0
just check flight sfo lax amp told atlant fli club gold get benefit,0
husband order three drink via screen never came awesom,0
soooo guy go leav seatbelt light flight can bare call turbul,0
funni stori websit broken miss javascript stylesheet checkin process dislik,0
love virgin just like,1
tri check am ct flight tmm desktop websit work sort cach bug sos,0
guy know check link email broken httptconpxbobmr,0
love wait monday return flight most just watch inflight safeti video sorrynotsorri,1
lost luggag day ago flight vx lax iad amp call everi day responsepleas give back stuff,0
flight book problem section websit seem broken chrome might wanna look,0
hi just want see new rout plan year newark love fli guy hope,1
mean probabl inappropri board,1
happi spend day togeth,1
understand help thx comp,1
thank absolut,1
look like broken link asset,0
manag itinerari section websit seem broken,0
check site look like everi time load httptcokacyawdbw,0
carrier less half price round trip fare stun httptcoukdjjijrow,0
wtf happen pdx late flight march one way sfo,0
free drink flight back free promo,1
thank,1
luggag gone file paperwork promis callemail still resolut respons central luggag,0
thank,1
thank take care flight rockstar travel,1
thank love soft view travel san sfo httptcocnctlgef,1
request mileag challeng status sever week ago onlin heard back get help,0
just tri book ticket nyc face super fun broken style worri keep tri,0
appli status match feb got confirm email day still news though guy drop ball late flight,0
ador look forward flight austin two week,1
glad mention took first virgin flight year back transform experi,1
tri check look like site,0
spend birthday night daldca get home,0
sent coupl messag email provid avail tri next year cheer,0
first time fli virgin went sanfrancisco thank smooth ride easili new fav airlin,1
serious though direct flight sfofll may,0
fine alreadi done purchas tri just go way go back,0
realli experi hope ws forc check small carri w noth empti cabin space board,0
wjere luggag slow lax,0
spoke repres offer solut loyal custom fli well,0
deepli disappoint birthday promo appli trip book mere day receiv email,0
happen direct flight sfofll look may see connect help dontdothistom,0
just promot product problem southwest recommend noneoth best httptcotfanxbhcf,1
love guy pls get direct rout las aus,1
cours work obsess entir virgin famili,1
ok first time fli tonight,1
d d emboss badg patch superior one current use httptcofqxelbon,0
vx jfk la dirti plane standard,0
flight vx head la jfk dirtiest va plane ever sad great airlin,0
got squar away someon pick soon tweet tweet sooner,1
avi rental continu button work websit book car tri time phone suck,0
delay to,0
current minut hold cust servic need anyth add lap child reserv,0
¡° cours fun celebrating¡± thank happi chines new year,1
flight book problem last second flight next week sfo san chanc want gift promo code sinc love guy,1
comen bank joke pleas chang noth constant problem bank,0
grandma ella th lt bday greet flight crew stewardess eastern airlin,1
just bought tix atx dalla rout thank ad love yr airlin amp yr websit best transact site ever,1
gave credit late flight flight yesterday great servic wow moment unexpect gestur,1
submit status match request back still haven¡¯t heard ¡¯m fli monday can look acceler,0
safeti video httptcocqmmnuem love first cross countri flight livewelltravel sytycd,1
look fat look yummi,1
omg omg nonstop dalla austin virgin,1
plane realli pretti just thought u know,1
pull hair tri book flight u site work iphon ipad comput help,0
thank,1
can get help support ticket day incid thank,0
good home texa moodlight httptconbvztyzi,1
even open laptop seat c paid premium let,0
seat c even open laptop paid extra seat,0
thank need way make austin trip dca now come,1
cool never ur plane now,1
great well deserv,1
fyi info email address say contact password reset email exist email bounc,0
status match week gone newsflt next week hope flt count toward requir cust svc help,0
websit suck donkey dick just thought know best,0
crap channel pay watch uk tv,0
got set thank,1
giant virgin america match made heaven,1
thank good also see friday nwkgtsf boom,1
come iphon app still use make wast paper,0
back seat entertain system accept credit card apostroph surnam apostrophefail,0
vx use lga slot instead today ad aus make less like,0
luv ur peopl product thing y u charg herbal tea black tea caffein drinker,1
thank see y soon excit see expans destin spread wing,1
sad learn longer fli sfo gt phl hope return,0
incred custom servic ever experienc refresh,1
dream realli just open rout dalla austin mean houston might next,1
omg final,1
kinda suck earphon jack work flight may want look futur passeng,0
poor experi first comput problem now seat malfunct stuck miss meet san diego,0
thankyou dalaus rout make day,1
awesom deal dalaus way,1
love take backyard consum win biz compet,1
fli love austin now excel news,1
congrat vx new rout,1
tri offer charg addit k new ticket strand thur st time last time,0
never bad experi one took cake now extort carri item well,0
spend hour worri item carryon brokenstolen sinc carri plane lock bag,0
group e told room bin got plane room least bag row,0
thank make flight lax jfk nightmar forc check carri bag gate,0
lot flight book site work phone wait minut,0
flight artisan chees wine pair,1
classi,1
sure lot jfklhr flight go lot faster mph strong tailwind,1
now just tminus minut elev silver upgrad window open freeneversuck,1
take year fli home dalla get shit togeth,0
rough trip luckili virginamerica flight weather,1
anoth perfect flight come plane sun visor can stay carrier make rais,1
nice rt man steel might faster wifi ¨C just say sciencebehindtheexperi httptcofgrbpazsix,1
love danc littl richard cool bean,1
don¡¯t use passbook still love though lt ¡¯ll just use email futur,1
thank free birthday point y right,1
man steel fli citi though frequenc,0
thank much share just ad site httptcotsvibtvth,1
dad segway best part whole infograph,1
plan short haul airlin europ defiant fli guy,1
wifi better seat,1
start flight scold use overhead bin offer person seat next,0
great return call day ask myvxexperi,1
airlin cancel flight flight bos help custom get home virgin say good luck,0
group virgin other now bos weather expos actual cus serv model never flight book problem virgin,0
one travel affect boston storm shock virgin complet apathi toward custom,0
umm reason someon differ contact contact get definit answer,0
tri make chang advanc just hour prior¡­tri onlin earlier want chang fee,0
loyal drive nyc pa fli virgin sinc cut philli flight,1
guy perfect alway lt wervirgin,1
thank y best custom servic left industri,1
realli wish fli fargo fare amaz,1
mood light point reclin seat kickin feet,0
flight schedul pm departur still say time plane gate updat long delay,0
group got cancel flightlat fee waiv ticket book rep help either,0
just got pm newark home la folk ewr incred letsgohom,1
fli lax sfo look awesom movi lineup actual wish long haul,1
thank,1
thank take care mr happi custom,1
still refund word via dm pleas resolv issu cancel flightl flight useless assist trip,0
delay due lack crew now delay long line deic still need improv servic unit,0
thank fill luck common,1
eriord express connect huge popular now eriewr hop,0
think board flight au earli think,0
gate agent hook altern flight way prevent constant issu rock,0
thank,1
thank ticket,1
worst nonrefund first class ticket oh select globalfc system auto select economi wupgrad,0
can buy tix day flight transfer tix flaw secur logic flaw custom servic,0
start claim week unrealist realli suppos go long car seat childridicul,0
follow pleas airlin beautiful,1
car seat lost just reimburs new one pair shoe necess child,0
total suck cousin work phl said,0
just want let know wonder rosetta gate agent work flight dan ase let know wasappreci,1
begin feb call unit said send anoth voucher mail never got anyth tiredofwait,0
internet great thing email execut compani mayb respond time manner,0
that weak see ya hey,0
flew back w compani sinc unit didnt earlier flight,0
tri book award septemb need flight show even w mani award seat availab,0
sure drive total hour get bag like explain debacl one want talk,0
see told repeat pilot late flight kept get late flightr board defibril issu,0
prefer secur line anymor tsa precheck pull partner flight platinum spoil,0
newarkliberti airport need indic differ gate termin ampc flyingainteasi,0
yes pleas newli marri tri updat last name preexist intern flight seem easi,0
unit refus reissu lost voucher plane take due mechan badcustomerservic,0
also run instruct shatter comput httptcooaflfrwxb,0
yes agent last minut one agent rude thank ladan nice,0
iah charlott baggag claim rep latric h customerservic non exist ignor custom inappropri touch custom,0
thank helpgot need issu guess sit awhil longer,1
love respond websit saw realli long form busi new seat bad,0
refund flight voucher anoth flight differ airlin expens today hour drive inconveni,0
receiv call back day infant car seat suppos go anywher child,0
well sit ground time wait gate tiredofthi,0
airport snow remov method keep good work folk cessna becom s httptcovtmusjvu,1
need guy book plane concern just travel someon els move forward,0
measli ecertif appreci loyal custom wait hrs tarmac ua unaccept,0
email addressusernam sign avail,0
thank abl claim interim expens cost stuff,1
rude rude,0
get board pass austrian airlin codeshar flight rebook incl hour layov amp stuck outsid sec,0
receiv flight unit truli break guitar unitedbreaksguitar wantmymoneyback,0
just flew telaviv paid third suitcas even make plane besid impolit servic,0
bag still colo spring disabl search unfamiliar airport look bag good outcom,0
shame flex ticket transfer rule even call neurosurgeri icu enough,0
denver said handl baggag made colo spring gave number call help either,0
guy need serious train custom servic mani better option put way guy handl ur mistak,0
found problem avoid like plagu told find supervisor,0
zccu cancel flight flight h advanc need connect flight reschedul link help help gf wait month see,0
fli,0
addit first flight delay hour arriv destin hrs late flight,0
flew unit last month experi awesom,1
travel book thru unit group dept okc ticket agent less will help connect lax,0
v upset disabl servic told one employe carri medic equip rude,0
thnx quick repli think can assist intl grp put consider inconveni today,0
wont transfer flight ticket accompani yr old activ militari mom emerg brain surgeri wow,0
week late flightr still receiv mile mileageplus gift card starbuck card hand,0
k alway hope improv,0
yet complain guy check luggag throw bag around unfortun coincid hope,0
okc ticket agent roger mclarrensp less help intl group travel problem find supervisor help,0
mobil app need construct ground os categori expens get right,0
anoth fail unit ticket agent okc less help care less problem american come,0
also work wc coach good thing bird land ahead schedul use wc stat,1
just sent email custom care tell may break sincer hope can help,0
silli fli delta today unit club staff attend sur unhelp alway seem bother peski folk,0
phone number find call flight reserv,0
well fix miss buddi th bday neglig can attempt make,0
believ help custom servic like said want number someon can fix,0
help baggag servic desk said bc tsa screen fll bag made bag ewr,0
mobil board pass disappear phone stand line board second time week hmm,0
record rozana newark love help choosekind,1
thx updat,1
explain eager flight attend tri ask vision guid dog,0
point ask detail servicedog book flight crew read continu,0
tri one avail bogota everyon rude houston stuck hour guy,0
worstunitedflightsev ua las iad mechan problem took land fix delay wtfodd,0
despit bag make newark good inform email track updat help,1
go ua outbound flight last thur delay hrs long delay worstunitedflightsev,0
worstunitedflightsev ua iad las mechan problem switch aircraft delay hour,0
crash tri check,0
wow deal plus seat avail easi chang make custom happi,1
logan board gong show due lax carri enforc bin full coat room bag u need better system,0
blackmail pay ¡ê extra return ticket nullifi san francisco airport terribl servic rep scam,0
disappoint u didnt honor credit given ur mistak take busi elsewher,0
ua still wait suppos depart,0
credit last trip never came mail,0
ok now month wait hear airlin gave quit bit day request terribl servic,0
process ever end still wait repli sinc month pathet customerservic,0
go websit flight book problem three ticket today boot system umpteen time,0
get account number websit say email unavail,0
receiv bag last night still miss one,0
need upgrad seat even economi plus like sit concret bench,0
nd flight also delay pilot board can just sit schedul,0
hard stay upset someon least tri show remors,0
way simpl apolog goe long way even hollow one obvious care well,0
one time thing either shock pattern repeat neglect disrespect,0
finger cross amp intact disappoint experi actual say enjoy use,0
incred easi fix rather stay comfort zone get forc mine,0
juli zero excus date system caus problem like,0
everyon around us sit friend famili member book ticket octob decemb bought,0
sure talk go nonstop flight sna sfo sfo ewr,0
move talk servic,0
ask legitim question systemwid vs local problem got back unrel flightd copypast can better,0
time can call need ski go airport get faith unit,0
see guy amaz one compani continu make mistak yet fail held account error,0
yeah sorri alway problem unit intern reput problem,0
mayb care hear went whoever listen issu caus,0
wonder share fb insta produc number charact realli limit stori tell,0
tell number call left airport neglig pilot staff,0
email resent doesnt appear arriv,0
follow order dmcome now,0
unit coupon make broken entertain system hour flight serious ridicul learncustomerservic,0
drop bag overnight amp now leav week suppos hold bag,0
dm detail still respons book today,0
abl dm confirm number,0
sent messag let know got twitterliter also realli go stuck hrs,0
unhappi respons complaint email nd feb ref aw custom servic,0
privat jet cool work tri,1
given option use unit travelbank recent flight book problem help use recoup fund thank,0
common keep paper work readi delay flight meet,0
yep correct got email flight cancel flightl matter now flight atl delay thx,0
k problem get fll iah sent dm make connect pleas let know,0
thank just sent,1
ground montreal ua miss connect ua st loui can help privat jet,0
frustrat nervous,0
one make difficult,0
child someon issu fli prepar ahead time reduc distress caus plane,0
get cancel flightl hour take,0
alway happen guy make travel incred stress uncomfort good busi,0
someon sever anxieti one person can help next,0
seek go client bc u cant get need refund fill form confid work past indic,0
unrival access california flight us uk airport nonstop onestop connect yearround,1
luckili made flight time disappoint lack communic,0
check see flight atlord got cancel flight,0
servic far horrid want end trip high note guess option,0
book flight home month ago request seat togeth fianc¨¦ got middl seat unaccept,0
guy horribl,0
thnx info,1
pay wifi intern busi ticket pennypinch,0
ok top thing lost luggag get wors unitedairlin,0
kudo cancel flightl flight dfw morn unit usual first panic,1
luggag broken youcouldntmakethi brokenwheel,0
mayb one day one quot httptcomjkpgvxmpc,0
flight delay one rememb turn heat flight leav ordseri,0
anoth awesom new plane flight extrem nice captain steve connolli,1
speak real person get resolv polit effici,0
file refund claim told charg dm disput bank henc like,0
bag make flight iad second day without cloth pretti inconveni pretti curious unitedairlin,0
everi unit flight saipan guam adventur never know old plane oper,1
henc ask custom servic phone number can speak real person get sort,0
bag leav washington yet conveni see left day ago unitedairlin lostluggag,0
accord dms owe refund pleas may provid contact number go bank file claim,0
hour ago need work bag can make hotel time need go elsewher,0
pls proper train agent request speak k custom servic amp transfer dead end even open hr,0
thank rememb load bag onto connect flight oh wait forgot iceland fun cloth,0
thank chees platter abund entertain option time just flew,1
custom servic atroci disrupt travel plan lost luggag imposs talk human,0
termin mia food open am esp flight am two hour earli like recommend eat,0
ua flight now current stuck portland miss ride hour delay getmartyhom,0
respond various request contact number anyon know uk custom servic number unitedairlin,0
look get bag lusaka,0
updat suitcas pleas onlin phone track told noth told back yesterday,0
thank tri two day set,1
just last thing u guy charg drink transatlant flight,0
lhr arriv loung fail wait min shower left find hotel u know mani passeng u carri plan,0
complet form doubt use ua care day vacat now sure ua feel respons,0
definit compliment realli thought bag lost sent anoth airport end happi custom,1
thanx much follow email ticket voucher unitedairlin care,1
definit trip rememb ewrsti second season first seat a pay loyal,1
nope told us time go home sleep airport even though assur us get room,0
back expens holiday work year pay ruin want compens amp origin case back,0
thank unit understand actual like bag back done also want money,0
frank wors custom servic ever problem happen deal defin compani never unit,0
still valid flight just seem strang delay late flight inbound crew hour now plane alreadi,0
thank lack help can respons k desk,0
bad ua anoth unforese oper issu return flight,0
pay luggag deliv arriv wait addit day deliveri,0
hotel peopl feel like held hostag someon board pass leav fail,0
one great airlin,1
outbound bag lbs bag return home bag lbs logic write machin human help requir,0
like hear poor experi pleas share detail w custom care team httptcohiscndmgz,0
cancel flightn just left us fend flt came late flight get runaround hrs employe blame previous,0
okay asem find luggag,0
agent met us gate said issu wdelay ua taken onlin,0
ladi one phone say tel aviv tel aviv unit say newark one know noth,0
¡° see can kn¡± run plane run thank help,1
yes still now answer mani luggag day unaccept,0
go noth just like alway,0
plus food taxi,0
offer us room peopl fail,0
peopl get pretti tire action solv problem plus miss day vacat ski,0
bright side keep promis made hope good night thank,0
take back comment team work hard help us far solut hotel food anyth fail,0
arriv two hour late flight clt now sit tarmac move plane gate unhappi custom,0
airlin absolut worst idea neveragain unitedairlin,0
thank might want fix line custom care team current respond inquiri within busi day,0
just flew unit aus austin bergstrom cancun intl best flight ever s big small,1
frustrat frequent flyer loyal sinc continent upgrad equal pay time top purchas ticket,0
wors figur pack plane screw connectn claim hotl room san fran strand pax way go,0
passeng hour delay flight left hotel end night hou airport wtf httptcozfqmpgxv,0
hey flight iah pos leav late flight one back iah earli rather get pos earlier,0
lost bag process broken agent promis call amp hold bag found now wake am w deliveri fail,0
peopl counter help can see nobodi flight austin still sit,0
¡° regret hear pleas let us know need assist kn¡± final abl secur seat thx,0
good know open close door premier passeng safeti brief delay flight annoy,0
yea get phoenix alreadi delay day peopl bullshit,0
consol staff stellar just hour delay encount everi one flight,0
flight ua gate b tell ray somehow made flight iah wait one,1
unfortun xmas gift look like razor rip right front pocket pictur,0
thank ask,1
lost bag cancel flightl flight delhi call center poor unit staff spread thin stress name,0
yes make mistak less absurd chang fact inconveni miss luggag tonight,0
constant challeng upgrad amp charg order prevent dvt pay addtl httptcoxcjqrb,0
ord wait min crew member left gate item came flight attend sarcast said good luck walk away,0
,1
favorit airlin,1
serious fail make stranger share room,0
need asap make today flight,0
agent split reserv now cancel flight refund credit wks,0
make share room,0
tri call w min phn wait mean miss option anyway,0
can ask guy flight bwi wait us get delay flight san diego pretti pleas,0
still wait find rep work hard upset wait tomorrow pm get mammoth,0
earli flt think call appropri yes review nada avail next day expect full refund,0
ask can call get fix tweet bs question stall make thing wors phone number pleas,0
yo yo yo stuck tarmac hour go miss ride help pleas helpimstuck unit,0
high unprofession overbook flight seat ampfeel rearrang schedul mismanag,0
well consid everi agent claim unabl help everyth els wast time hear call corp,0
man wait book ticket now thank jp life sabe,1
ice total understand larg number us face hour time overnight cancel flightat seem like,0
flt cancel flightl get email happen courtesi phn call book diff airlin amp citi,0
tag number find bag,0
better train support staff appropri decorum consid revisit terribl provid death certif polici,0
well bar set low guy realli good apolog game chang u guy learn,0
guy continu impress houston httptcocihqnllcm,1
way make phone call need handl via twitteremailweb thank,0
websit deserv new design html ftw,0
thank ef holiday miss full day ski due baggag team incompet,0
agent help person front finish walk away guy behind shock,0
connect ord exact plane check carri appar taken amp left chicago pretti ridicul,0
encourag cpap tonight,0
yes file claim soon carousel stop without bag got email found sched deliveri,0
delay dencl manual enter baggag tag realli worst cust servic day ker friendlyski,0
tell us flight delay tell us time min spare say delay unless sure,0
yes lusaka zambia guess bag never made plane iad,0
late flight denver late flight newark even get disast check bag unaccept,0
let think ever flown problem worst airlin period,0
yes file claim amp hope receiv luggag am ridicul purchas item go sleep amp reimburs,0
ua ordlhr bag load min late flight frigid air cabin plane feel like fall apart upgrad long haul fleet,0
flight attend never serv beverag tea check give ua notcool,0
load balanc system appar systemwid major impact unit airlin flight cyberattack,0
unschedul refuel stop miss connect flight r home n look ward bed big pbampj sandwich,0
spent hundr rectifi situat guy go quiet,0
ua sit ewr near hour sked pilot say comput clue leav can help,0
just end come travel liter extra day half,0
made upgrad list fli st tomorrow min first time ever statusmatchpaidoff httptcoatfrkpgoy,1
just refund us vacat get free room night make make us sleep dia,1
thank remind fun ride httptcoppvarchf,1
receiv luggag also look left snow arriv ask peopl refund,0
updat a aircraft wifi devic entertain outlet get can charg devic,0
one scan insid plane just ask peopl line around plane go,0
gate chang two delay even crew think airlin suck,0
frustrat wast day now due equip failur,0
comput stop give updat took flight info app just ridicul keep peopl updat,0
soooo day offer respons assum poor treatment gate agent norm now,0
terrif mani thank look forward back ua tomorrow great flight vancouv,1
call result hrs hold time amp day wait check suspect code share fare noth investigated¡ª time wast,0
taken week cust care respond case request refund wifi work can get updat,0
appreci effort get home,1
correct¡ª spent hour tri book onlin receiv error click final purchas button,0
today finest prevent one gate agent advis passeng,0
real deal delay flight ua denver vega,0
ua madrid arriv agent mass confus sent fro ua employe maryjo rude unhelp,0
system failur bad trend softwar project like fli airplan thing emerg takeoff,0
lot report system failur delay flight last week current sit tarmac ogg hour,0
despit shaki connect look like get home tonight great job touch go,1
httptcohjkqchn howev complet control¡ª price still display httptcohjkqchn,0
can tell file claim cloth purchas,0
comic return flight ase two unit flight board adjac gate clear plane board,0
grkm file refer,0
contact discuss poor experi custom servic give shot,0
ua pacif rim date night cut constant random one spot repeat,0
tri sinc file report,0
send email bad experi send back generic respons yet anoth reason never fli,0
ticket pleas refund unnecessari upgrad fee,0
horribl lost carseat expect us use loner carseat safeti regul say illeg use use car seat,0
thank,1
care link show wrong price site¡ª site amp respons ensur correct,0
need get home th tell ll th night compens anyth can done,0
¡° baggag fee waiv premier member pleas see httptcouduwmd jp¡± point membership,0
wonder bag claim peopl final bag catch earlier flight origin flight just land wastedtim,0
dmed thank,0
thank touch,1
thank karen salisburi iah amaz custom servic found daughter bag lost ua made day,1
day late flightr bag left iad unit help everyon tell differ stori,0
left comment custom care thank contact,1
lose gate check bag den ord direct flight ugh,0
caught earlier flight ord gate check bag lost ohar origin flight land minut frustrat,0
yes thank much ¡° see spoke reserv team reinstat flight thank ey¡±,1
captain behalf front offic welcom board never heard laughedhard funnycaptain,1
can pleas follow dm miss bag,0
great fare,1
left item plane call non stop one answer can pleas help,0
